brand,price,fuel,mileage,gearbox,year,location,url,image
BMW X1,36 900 PLN,Diesel,148 700 km,Automatyczna,2012,Węgierki (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/bmw-x1-x-drive-navi-skory-multi-hak-ID6Hqqyo.html,https://ireland.apollo.olxcdn.com/v1/files/aotbg2x928xt3-OTOMOTOPL/image;s=320x240
BMW Seria 3 318d Touring Modern Line,39 900 PLN,Diesel,203 000 km,Manualna,2014,Nowa Sławogóra (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-idealny-stan-mega-wyglad-modern-line-ID6HuSMj.html,https://ireland.apollo.olxcdn.com/v1/files/3ocd300f87aq-OTOMOTOPL/image;s=320x240
BMW Seria 5 525d xDrive,75 600 PLN,Diesel,215 000 km,Automatyczna,2015,Gdynia (Pomorskie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-5-pierwszy-wlasciciel-bezwypadkowe-serwisowane-do-dzis-ID6HqQYW.html,https://ireland.apollo.olxcdn.com/v1/files/659it7iumoa81-OTOMOTOPL/image;s=320x240
BMW Seria 3 318d,54 000 PLN,Diesel,133 212 km,Manualna,2016,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-bmw-318d-zadbany-serwisowany-klimatronik-opony-gratis-ID6HoigL.html,https://ireland.apollo.olxcdn.com/v1/files/4cm6rzrncrt03-OTOMOTOPL/image;s=320x240
BMW Seria 3 320d xDrive M Sport sport,174 900 PLN,Diesel,58 000 km,Automatyczna,2022,Łaskarzew (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-m-pakiet-pl-salon-fv23-xdrive-lift-hud-ID6HuTcd.html,https://ireland.apollo.olxcdn.com/v1/files/ubrl8ucgm0ew2-OTOMOTOPL/image;s=320x240
BMW Seria 3 318i Sport Line,85 900 PLN,Benzyna,143 600 km,Manualna,2021,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-touring-salon-polska-ID6HuNWa.html,https://ireland.apollo.olxcdn.com/v1/files/uwdnt2orv0mb-OTOMOTOPL/image;s=320x240
BMW Seria 3,232 900 PLN,Diesel,1 km,Automatyczna,2024,Katowice (Śląskie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-320d-xdrive-limuzyna-pakiet-sportowy-m-pro-190km-ID6HuVrL.html,https://ireland.apollo.olxcdn.com/v1/files/7uxfrjbh5jzf1-OTOMOTOPL/image;s=644x461
BMW Seria 3 318d Luxury Line,74 900 PLN,Diesel,215 000 km,Automatyczna,2020,Wrocław (Dolnośląskie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-bmw-318d-hybrida-diesel-ID6Hu9t7.html,https://ireland.apollo.olxcdn.com/v1/files/qwvjw0nsnw6z2-OTOMOTOPL/image;s=320x240
BMW 1M,65 000 PLN,Benzyna,150 000 km,Automatyczna,2013,Gorzów Wielkopolski (Lubuskie),https://www.otomoto.pl/osobowe/oferta/bmw-1m-x-drive-480km-full-opcja-ID6Hq1XF.html,https://ireland.apollo.olxcdn.com/v1/files/9yvnuqgbgjgw2-OTOMOTOPL/image;s=320x240
BMW Seria 4 420d M Sport,96 000 PLN,Diesel,85 000 km,Automatyczna,2018,Długie Pole (Pomorskie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-4-bmw-4-f36-420d-m-sport-2018-ID6Hmqzv.html,https://ireland.apollo.olxcdn.com/v1/files/ohqe82b5745g2-OTOMOTOPL/image;s=320x240
BMW X6 xDrive40i,279 000 PLN,Benzyna,45 000 km,Automatyczna,2022,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/bmw-x6-bmw-x6-40i-ID6HuOBW.html,https://ireland.apollo.olxcdn.com/v1/files/ck7xv5xg12z41-OTOMOTOPL/image;s=320x240
